Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Club/Bar/Restaurant,10308,STATEN ISLAND,STATEN ISLAND,40.54409609,-74.14115469,40
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.72979348,-73.99884181,18
Club/Bar/Restaurant,10308,STATEN ISLAND,STATEN ISLAND,40.54420877,-74.14103979,21
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86637626,-73.92825812,160
Club/Bar/Restaurant,11220,BROOKLYN,BROOKLYN,40.63520686,-74.02028461,17
Club/Bar/Restaurant,10029,NEW YORK,MANHATTAN,40.79186116,-73.94539159,211
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.71879472,-73.98901165,41
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86954934,-73.91634837,271
Club/Bar/Restaurant,11373,ELMHURST,QUEENS,40.73924884,-73.88445696,15
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.72278878,-74.00459619,43
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.72581057,-73.99199058,42
Club/Bar/Restaurant,11419,SOUTH RICHMOND HILL,QUEENS,40.68935074,-73.81613264,46
Club/Bar/Restaurant,10128,NEW YORK,MANHATTAN,40.77933383,-73.95066995,16
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72349367,-73.98825325,1175
Club/Bar/Restaurant,10464,BRONX,BRONX,40.83767128,-73.78290106,11
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72320273,-73.98827856,24
